segment_id,phase,model_best_phase,model_best_score,model_best_cluster,anomaly_score,is_anomaly
a954aa-0-f7daff54d955,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
Dec 28 2025-ab60e3-1766963473.77-1766964282.67-2750-4f1ced8b3d0e,DEPARTURE,DEPARTURE,0.23371024706847118,0.0,0.23371024706847118,False
Dec 27 2025-a3b3df-1766862920.62-1766863727.74-3301-508123f43b7f,DEPARTURE,DEPARTURE,0.19744709224632795,0.0,0.19744709224632795,False
a1f595-0-80c2aaa85748,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
a825a6-0-a02e6175970e,DEPARTURE,DEPARTURE,0.2819787023967229,0.0,0.2819787023967229,False
Dec 28 2025-a2c1b6-1766887323.78-1766888244.69-2197-75ab0122a423,DEPARTURE,DEPARTURE,0.0,0.0,0.0,False
abe1c2-0-24d803da594f,DEPARTURE,DEPARTURE,0.24397932036548808,0.0,0.24397932036548808,False
ac30c0-0-04fe6b34f346,DEPARTURE,DEPARTURE,0.2546818435985365,0.0,0.2546818435985365,False
a3e9c5-0-93d516707919,DEPARTURE,DEPARTURE,0.5217909056144276,0.0,0.5217909056144276,False
Dec 28 2025-ac2b6c-1766939609.07-1766940630.17-1281-273ca6babac4,DEPARTURE,DEPARTURE,0.22986179300674295,0.0,0.22986179300674295,False
